DateTime,AddedIPs,RemovedIPs
1465429323,21,84
1465430163,1832,0
1465430175,0,512
1465431242,2858,53
1465432083,45,2815
1465432622,3,1
1465432923,33,89
1465433773,768,0
1465434843,70,42
1465435197,767,256
1465435683,51,0
1465436222,1,4
1465436523,40,85
1465437363,557,256
1465438285,3621,1062
1465439282,64,0
1465439822,8,1
1465440123,35,99
1465440891,768,2560
1465440963,34,0
1465441803,32,59
1465441879,768,1535
1465443003,52,86
1465443422,0,1268
1465443722,1,1
1465443723,34,15
1465444562,1315,0
1465444573,0,1024
1465445489,3372,61
1465446483,53,0
1465447322,34,3183
1465447453,1270,0
1465448173,42,0
1465449002,39,48
1465449487,0,510
1465450082,50,0
1465450924,40,86
1465450990,1531,766
1465451763,26,0
1465451779,0,512
1465452685,2601,98
1465453683,51,0
1465454524,45,118
1465455363,839,3327
1465455373,0,1023
1465456281,846,41
1465457282,76,1
1465458126,45,348
1465458963,561,1
1465459803,55,51
1465460273,2816,1023
1465460883,51,3073
1465461723,53,123
1465462563,535,0
1465463403,52,77
1465463940,766,1278
1465464482,75,0
1465465323,72,875
1465466162,1091,0
1465467081,2867,2112
1465468083,53,0
1465469034,56,117
1465469774,541,3577
1465470603,58,47
1465471107,256,768
1465471683,69,2
1465472523,45,106
1465473362,1299,510
1465474442,2871,1081
1465475283,38,2
1465476123,35,95
1465476962,817,3584
1465477884,1325,2372
1465478883,58,0
1465479723,47,129
1465479919,1789,255
1465480563,51,1
1465481643,3137,2356
1465482553,46,2
1465483323,53,85
1465484256,821,3075
1465485083,511,766
1465485303,80,49
1465486203,77,350
1465486925,12,4
1465487763,1137,35
1465487783,0,766
1465488694,3625,48
1465489682,48,0
1465490527,52,94
1465490638,256,3328
1465491612,60,76
1465492279,768,508
1465492443,44,0
1465493291,56,0
1465494127,40,148
1465494963,783,255
1465494972,0,1280
1465496235,1834,64
1465496816,0,2816
1465496883,26,0
1465497723,34,344
1465498025,5,2
1465498563,36,1
1465499486,293,84
1465500483,64,0
1465501323,46,134
1465501921,513,258
1465502163,39,0
1465503085,3106,1609
1465504083,53,1
1465504923,34,103
1465505780,550,2560
1465506603,44,77
1465507109,767,764
1465507682,35,0
1465508523,41,153
1465509362,1835,0
1465509373,0,767
1465510442,3375,68
1465511282,35,2298
1465512123,39,110
1465512963,548,0
1465513900,799,1303
1465514883,43,0
1465515723,31,123
1465516562,1305,769
1465516575,0,1534
1465517402,3097,48
1465518483,51,0
1465519022,3,9
1465519323,38,131
1465520163,810,3066
1465520175,0,1280
1465521076,544,59
1465522203,52,88
1465522621,12,2
1465522923,0,1
1465524012,1104,332
1465524842,3116,1280
1465525682,34,0
1465526222,1,6
1465526523,40,115
1465527363,1797,3584
1465527375,0,768
1465528202,39,60
1465528672,510,0
1465529282,47,0
1465529822,2,0
1465530123,36,85
1465530963,305,1023
1465531888,3617,1335
1465532883,37,0
1465533422,2,0
1465533723,62,80
1465533754,767,2815
1465534563,32,0
1465535643,1315,831
1465536483,34,0
1465537021,0,2
1465537322,34,123
1465537375,1023,256
1465538163,45,0
1465539079,2598,1089
1465539400,256,0
1465540083,52,0
1465540621,1,1
1465540923,30,122
1465542015,807,2384
1465542843,533,1025
1465543683,40,0
1465544222,2,1
1465544523,44,113
1465544571,767,1023
1465545363,26,0
1465545375,0,511
1465546279,2349,66
1465547282,61,5
1465547821,2,0
1465548123,40,129
1465548963,1796,3072
1465549883,802,813
1465550883,48,0
1465551421,5,515
1465551723,32,146
1465552400,1020,0
1465553643,3160,1092
1465554483,38,1
1465555022,2,1
1465555323,1,0
1465556012,1277,2816
1465556163,69,113
1465557003,40,66
1465557108,256,511
1465557974,15,0
1465558203,55,94
1465558621,3,0
1465558923,2,2
1465559763,833,557
