DateTime,AddedIPs,RemovedIPs
1465190190,1664,164
1465212046,121,82
1465234135,30,41
1465256194,3109,3886
1465278266,761,956
1465300113,47,89
1465321972,52,26
1465344042,1187,4271
1465366128,1862,850
1465388186,74,94
1465410266,62,46
1465432500,955,1408
1465454453,788,1825
1465476508,74,49
1465498418,84,32
1465520438,461,1172
1465542516,211,1998
1465564610,82,96
1465586670,40,94
1465608798,666,557
1465630835,1442,257
1465652953,77,58
1465674981,92,39
1465696835,305,472
1465718906,92,1870
1465740782,43,83
